Week,GERD diet: (Canada)
2016-04-17,55
2016-04-24,37
2016-05-01,19
2016-05-08,38
2016-05-15,0
2016-05-22,20
2016-05-29,19
2016-06-05,19
2016-06-12,19
2016-06-19,20
2016-06-26,40
2016-07-03,0
2016-07-10,0
2016-07-17,41
2016-07-24,0
2016-07-31,21
2016-08-07,41
2016-08-14,21
2016-08-21,0
2016-08-28,20
2016-09-04,41
2016-09-11,0
2016-09-18,19
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,55
2016-10-23,19
2016-10-30,0
2016-11-06,18
2016-11-13,37
2016-11-20,18
2016-11-27,36
2016-12-04,53
2016-12-11,18
2016-12-18,19
2016-12-25,40
2017-01-01,37
2017-01-08,70
2017-01-15,17
2017-01-22,17
2017-01-29,17
2017-02-05,34
2017-02-12,17
2017-02-19,35
2017-02-26,32
2017-03-05,50
2017-03-12,100
2017-03-19,34
2017-03-26,51
2017-04-02,34
2017-04-09,0
2017-04-16,17
2017-04-23,17
2017-04-30,17
2017-05-07,17
2017-05-14,0
2017-05-21,19
2017-05-28,0
2017-06-04,18
2017-06-11,0
2017-06-18,54
2017-06-25,57
2017-07-02,20
2017-07-09,0
2017-07-16,0
2017-07-23,19
2017-07-30,18
2017-08-06,75
2017-08-13,18
2017-08-20,37
2017-08-27,0
2017-09-03,18
2017-09-10,87
2017-09-17,35
2017-09-24,17
2017-10-01,0
2017-10-08,0
2017-10-15,17
2017-10-22,17
2017-10-29,51
2017-11-05,33
2017-11-12,16
2017-11-19,16
2017-11-26,16
2017-12-03,17
2017-12-10,17
2017-12-17,35
2017-12-24,19
2017-12-31,51
2018-01-07,16
2018-01-14,16
2018-01-21,0
2018-01-28,32
2018-02-04,48
2018-02-11,49
2018-02-18,0
2018-02-25,32
2018-03-04,49
2018-03-11,33
2018-03-18,49
2018-03-25,17
2018-04-01,32
2018-04-08,0
2018-04-15,16
2018-04-22,0
2018-04-29,0
2018-05-06,17
2018-05-13,17
2018-05-20,17
2018-05-27,33
2018-06-03,33
2018-06-10,0
2018-06-17,0
2018-06-24,17
2018-07-01,35
2018-07-08,17
2018-07-15,35
2018-07-22,34
2018-07-29,0
2018-08-05,17
2018-08-12,17
2018-08-19,17
2018-08-26,17
2018-09-02,17
2018-09-09,16
2018-09-16,80
2018-09-23,16
2018-09-30,16
2018-10-07,17
2018-10-14,17
2018-10-21,17
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,16
2018-11-25,49
2018-12-02,17
2018-12-09,17
2018-12-16,18
2018-12-23,38
2018-12-30,18
2019-01-06,16
2019-01-13,48
2019-01-20,47
2019-01-27,48
2019-02-03,15
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,16
2019-03-10,33
2019-03-17,16
2019-03-24,82
2019-03-31,32
2019-04-07,0
2019-04-14,48
2019-04-21,32
2019-04-28,32
2019-05-05,65
2019-05-12,0
2019-05-19,17
2019-05-26,64
2019-06-02,15
2019-06-09,0
2019-06-16,16
2019-06-23,33
2019-06-30,0
2019-07-07,16
2019-07-14,17
2019-07-21,52
2019-07-28,17
2019-08-04,0
2019-08-11,49
2019-08-18,33
2019-08-25,32
2019-09-01,16
2019-09-08,15
2019-09-15,15
2019-09-22,30
2019-09-29,30
2019-10-06,15
2019-10-13,61
2019-10-20,0
2019-10-27,30
2019-11-03,44
2019-11-10,15
2019-11-17,15
2019-11-24,14
2019-12-01,44
2019-12-08,0
2019-12-15,47
2019-12-22,50
2019-12-29,16
2020-01-05,14
2020-01-12,14
2020-01-19,15
2020-01-26,14
2020-02-02,43
2020-02-09,14
2020-02-16,43
2020-02-23,42
2020-03-01,54
2020-03-08,0
2020-03-15,13
2020-03-22,13
2020-03-29,0
2020-04-05,12
2020-04-12,12
2020-04-19,12
2020-04-26,25
2020-05-03,48
2020-05-10,61
2020-05-17,39
2020-05-24,13
2020-05-31,36
2020-06-07,51
2020-06-14,40
2020-06-21,27
2020-06-28,14
2020-07-05,27
2020-07-12,71
2020-07-19,29
2020-07-26,44
2020-08-02,42
2020-08-09,29
2020-08-16,28
2020-08-23,85
2020-08-30,70
2020-09-06,14
2020-09-13,27
2020-09-20,55
2020-09-27,28
2020-10-04,29
2020-10-11,0
2020-10-18,46
2020-10-25,61
2020-11-01,27
2020-11-08,29
2020-11-15,29
2020-11-22,14
2020-11-29,58
2020-12-06,44
2020-12-13,73
2020-12-20,16
2020-12-27,62
2021-01-03,14
2021-01-10,57
2021-01-17,29
2021-01-24,29
2021-01-31,43
2021-02-07,43
2021-02-14,15
2021-02-21,0
2021-02-28,15
2021-03-07,73
2021-03-14,56
2021-03-21,0
2021-03-28,15
2021-04-04,17