Week,Anti-inflammatory diet: (Canada)
2016-04-17,0
2016-04-24,29
2016-05-01,0
2016-05-08,29
2016-05-15,0
2016-05-22,31
2016-05-29,0
2016-06-05,29
2016-06-12,29
2016-06-19,0
2016-06-26,0
2016-07-03,31
2016-07-10,0
2016-07-17,0
2016-07-24,33
2016-07-31,33
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,31
2016-09-04,32
2016-09-11,0
2016-09-18,0
2016-09-25,30
2016-10-02,0
2016-10-09,0
2016-10-16,29
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,29
2017-01-08,27
2017-01-15,27
2017-01-22,54
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,26
2017-04-09,0
2017-04-16,26
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,29
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,29
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,29
2017-08-20,29
2017-08-27,57
2017-09-03,0
2017-09-10,27
2017-09-17,0
2017-09-24,54
2017-10-01,27
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,26
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,53
2017-12-17,27
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,100
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,50
2018-02-25,0
2018-03-04,0
2018-03-11,51
2018-03-18,76
2018-03-25,26
2018-04-01,25
2018-04-08,49
2018-04-15,0
2018-04-22,25
2018-04-29,0
2018-05-06,26
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,26
2018-06-10,0
2018-06-17,0
2018-06-24,52
2018-07-01,0
2018-07-08,0
2018-07-15,27
2018-07-22,0
2018-07-29,27
2018-08-05,0
2018-08-12,27
2018-08-19,0
2018-08-26,0
2018-09-02,26
2018-09-09,25
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,26
2018-10-28,0
2018-11-04,25
2018-11-11,0
2018-11-18,0
2018-11-25,25
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,25
2019-01-13,25
2019-01-20,0
2019-01-27,25
2019-02-03,0
2019-02-10,24
2019-02-17,51
2019-02-24,0
2019-03-03,25
2019-03-10,0
2019-03-17,51
2019-03-24,25
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,25
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,25
2019-07-14,26
2019-07-21,0
2019-07-28,27
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,75
2019-09-01,24
2019-09-08,0
2019-09-15,0
2019-09-22,23
2019-09-29,46
2019-10-06,0
2019-10-13,24
2019-10-20,45
2019-10-27,0
2019-11-03,0
2019-11-10,23
2019-11-17,23
2019-11-24,0
2019-12-01,0
2019-12-08,24
2019-12-15,0
2019-12-22,0
2019-12-29,24
2020-01-05,0
2020-01-12,0
2020-01-19,23
2020-01-26,45
2020-02-02,0
2020-02-09,0
2020-02-16,45
2020-02-23,0
2020-03-01,42
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,20
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,21
2020-06-21,21
2020-06-28,0
2020-07-05,21
2020-07-12,22
2020-07-19,0
2020-07-26,0
2020-08-02,22
2020-08-09,0
2020-08-16,0
2020-08-23,22
2020-08-30,22
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,22
2020-10-04,22
2020-10-11,0
2020-10-18,24
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,22
2020-11-29,0
2020-12-06,0
2020-12-13,46
2020-12-20,0
2020-12-27,24
2021-01-03,22
2021-01-10,22
2021-01-17,22
2021-01-24,22
2021-01-31,0
2021-02-07,0
2021-02-14,23
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,26