Week,Alkaline diet: (Canada)
2016-04-17,0
2016-04-24,93
2016-05-01,47
2016-05-08,47
2016-05-15,24
2016-05-22,50
2016-05-29,36
2016-06-05,12
2016-06-12,23
2016-06-19,24
2016-06-26,37
2016-07-03,0
2016-07-10,89
2016-07-17,13
2016-07-24,13
2016-07-31,0
2016-08-07,13
2016-08-14,13
2016-08-21,26
2016-08-28,38
2016-09-04,26
2016-09-11,36
2016-09-18,36
2016-09-25,48
2016-10-02,47
2016-10-09,0
2016-10-16,12
2016-10-23,0
2016-10-30,12
2016-11-06,34
2016-11-13,23
2016-11-20,11
2016-11-27,22
2016-12-04,11
2016-12-11,34
2016-12-18,36
2016-12-25,75
2017-01-01,35
2017-01-08,0
2017-01-15,11
2017-01-22,22
2017-01-29,22
2017-02-05,53
2017-02-12,44
2017-02-19,11
2017-02-26,10
2017-03-05,52
2017-03-12,42
2017-03-19,32
2017-03-26,21
2017-04-02,11
2017-04-09,11
2017-04-16,11
2017-04-23,21
2017-04-30,43
2017-05-07,22
2017-05-14,35
2017-05-21,23
2017-05-28,58
2017-06-04,11
2017-06-11,35
2017-06-18,11
2017-06-25,12
2017-07-02,0
2017-07-09,12
2017-07-16,0
2017-07-23,36
2017-07-30,35
2017-08-06,35
2017-08-13,34
2017-08-20,58
2017-08-27,58
2017-09-03,22
2017-09-10,22
2017-09-17,22
2017-09-24,22
2017-10-01,32
2017-10-08,22
2017-10-15,0
2017-10-22,11
2017-10-29,11
2017-11-05,21
2017-11-12,52
2017-11-19,0
2017-11-26,10
2017-12-03,52
2017-12-10,53
2017-12-17,11
2017-12-24,23
2017-12-31,11
2018-01-07,10
2018-01-14,40
2018-01-21,30
2018-01-28,40
2018-02-04,30
2018-02-11,10
2018-02-18,51
2018-02-25,41
2018-03-04,72
2018-03-11,41
2018-03-18,10
2018-03-25,41
2018-04-01,80
2018-04-08,39
2018-04-15,39
2018-04-22,41
2018-04-29,20
2018-05-06,21
2018-05-13,32
2018-05-20,32
2018-05-27,62
2018-06-03,31
2018-06-10,31
2018-06-17,10
2018-06-24,53
2018-07-01,22
2018-07-08,11
2018-07-15,11
2018-07-22,53
2018-07-29,11
2018-08-05,11
2018-08-12,11
2018-08-19,33
2018-08-26,54
2018-09-02,11
2018-09-09,20
2018-09-16,20
2018-09-23,41
2018-09-30,0
2018-10-07,32
2018-10-14,0
2018-10-21,21
2018-10-28,10
2018-11-04,20
2018-11-11,31
2018-11-18,30
2018-11-25,30
2018-12-02,10
2018-12-09,21
2018-12-16,22
2018-12-23,36
2018-12-30,67
2019-01-06,61
2019-01-13,60
2019-01-20,20
2019-01-27,20
2019-02-03,19
2019-02-10,20
2019-02-17,41
2019-02-24,39
2019-03-03,80
2019-03-10,72
2019-03-17,10
2019-03-24,10
2019-03-31,100
2019-04-07,29
2019-04-14,40
2019-04-21,71
2019-04-28,30
2019-05-05,20
2019-05-12,21
2019-05-19,10
2019-05-26,100
2019-06-02,10
2019-06-09,0
2019-06-16,30
2019-06-23,21
2019-06-30,10
2019-07-07,41
2019-07-14,10
2019-07-21,0
2019-07-28,11
2019-08-04,42
2019-08-11,10
2019-08-18,0
2019-08-25,40
2019-09-01,20
2019-09-08,38
2019-09-15,19
2019-09-22,0
2019-09-29,28
2019-10-06,28
2019-10-13,19
2019-10-20,27
2019-10-27,0
2019-11-03,0
2019-11-10,9
2019-11-17,9
2019-11-24,36
2019-12-01,18
2019-12-08,9
2019-12-15,29
2019-12-22,10
2019-12-29,19
2020-01-05,9
2020-01-12,9
2020-01-19,65
2020-01-26,9
2020-02-02,18
2020-02-09,9
2020-02-16,63
2020-02-23,26
2020-03-01,9
2020-03-08,8
2020-03-15,25
2020-03-22,39
2020-03-29,23
2020-04-05,8
2020-04-12,30
2020-04-19,15
2020-04-26,0
2020-05-03,30
2020-05-10,8
2020-05-17,0
2020-05-24,8
2020-05-31,23
2020-06-07,0
2020-06-14,8
2020-06-21,17
2020-06-28,44
2020-07-05,9
2020-07-12,27
2020-07-19,18
2020-07-26,0
2020-08-02,18
2020-08-09,9
2020-08-16,18
2020-08-23,18
2020-08-30,26
2020-09-06,27
2020-09-13,26
2020-09-20,35
2020-09-27,9
2020-10-04,27
2020-10-11,20
2020-10-18,29
2020-10-25,19
2020-11-01,0
2020-11-08,9
2020-11-15,28
2020-11-22,18
2020-11-29,9
2020-12-06,19
2020-12-13,37
2020-12-20,10
2020-12-27,10
2021-01-03,18
2021-01-10,45
2021-01-17,0
2021-01-24,0
2021-01-31,18
2021-02-07,18
2021-02-14,9
2021-02-21,0
2021-02-28,0
2021-03-07,27
2021-03-14,0
2021-03-21,19
2021-03-28,37
2021-04-04,21