Week,IBS diet: (Canada)
2016-04-17,53
2016-04-24,0
2016-05-01,0
2016-05-08,11
2016-05-15,22
2016-05-22,45
2016-05-29,11
2016-06-05,32
2016-06-12,43
2016-06-19,11
2016-06-26,57
2016-07-03,57
2016-07-10,34
2016-07-17,24
2016-07-24,48
2016-07-31,37
2016-08-07,24
2016-08-14,49
2016-08-21,59
2016-08-28,12
2016-09-04,0
2016-09-11,22
2016-09-18,44
2016-09-25,11
2016-10-02,11
2016-10-09,33
2016-10-16,21
2016-10-23,22
2016-10-30,32
2016-11-06,0
2016-11-13,11
2016-11-20,21
2016-11-27,51
2016-12-04,30
2016-12-11,21
2016-12-18,22
2016-12-25,23
2017-01-01,11
2017-01-08,10
2017-01-15,20
2017-01-22,49
2017-01-29,30
2017-02-05,49
2017-02-12,20
2017-02-19,70
2017-02-26,47
2017-03-05,19
2017-03-12,19
2017-03-19,39
2017-03-26,19
2017-04-02,39
2017-04-09,30
2017-04-16,20
2017-04-23,39
2017-04-30,29
2017-05-07,30
2017-05-14,54
2017-05-21,11
2017-05-28,0
2017-06-04,52
2017-06-11,31
2017-06-18,0
2017-06-25,11
2017-07-02,34
2017-07-09,11
2017-07-16,33
2017-07-23,55
2017-07-30,21
2017-08-06,32
2017-08-13,11
2017-08-20,53
2017-08-27,32
2017-09-03,100
2017-09-10,20
2017-09-17,0
2017-09-24,40
2017-10-01,40
2017-10-08,50
2017-10-15,48
2017-10-22,39
2017-10-29,0
2017-11-05,28
2017-11-12,48
2017-11-19,18
2017-11-26,0
2017-12-03,19
2017-12-10,10
2017-12-17,20
2017-12-24,22
2017-12-31,20
2018-01-07,63
2018-01-14,28
2018-01-21,64
2018-01-28,37
2018-02-04,37
2018-02-11,28
2018-02-18,37
2018-02-25,55
2018-03-04,64
2018-03-11,28
2018-03-18,28
2018-03-25,19
2018-04-01,36
2018-04-08,27
2018-04-15,9
2018-04-22,18
2018-04-29,28
2018-05-06,29
2018-05-13,49
2018-05-20,29
2018-05-27,10
2018-06-03,28
2018-06-10,9
2018-06-17,38
2018-06-24,39
2018-07-01,20
2018-07-08,29
2018-07-15,39
2018-07-22,29
2018-07-29,69
2018-08-05,49
2018-08-12,49
2018-08-19,30
2018-08-26,49
2018-09-02,19
2018-09-09,28
2018-09-16,28
2018-09-23,28
2018-09-30,84
2018-10-07,29
2018-10-14,19
2018-10-21,47
2018-10-28,9
2018-11-04,37
2018-11-11,38
2018-11-18,36
2018-11-25,0
2018-12-02,38
2018-12-09,29
2018-12-16,10
2018-12-23,22
2018-12-30,20
2019-01-06,9
2019-01-13,55
2019-01-20,18
2019-01-27,63
2019-02-03,71
2019-02-10,36
2019-02-17,46
2019-02-24,18
2019-03-03,27
2019-03-10,38
2019-03-17,9
2019-03-24,56
2019-03-31,45
2019-04-07,54
2019-04-14,28
2019-04-21,46
2019-04-28,55
2019-05-05,19
2019-05-12,47
2019-05-19,66
2019-05-26,46
2019-06-02,35
2019-06-09,27
2019-06-16,28
2019-06-23,19
2019-06-30,48
2019-07-07,0
2019-07-14,28
2019-07-21,29
2019-07-28,39
2019-08-04,49
2019-08-11,19
2019-08-18,19
2019-08-25,28
2019-09-01,62
2019-09-08,61
2019-09-15,0
2019-09-22,26
2019-09-29,8
2019-10-06,34
2019-10-13,26
2019-10-20,25
2019-10-27,17
2019-11-03,17
2019-11-10,33
2019-11-17,25
2019-11-24,16
2019-12-01,25
2019-12-08,26
2019-12-15,35
2019-12-22,29
2019-12-29,35
2020-01-05,33
2020-01-12,16
2020-01-19,50
2020-01-26,66
2020-02-02,58
2020-02-09,25
2020-02-16,41
2020-02-23,16
2020-03-01,15
2020-03-08,30
2020-03-15,7
2020-03-22,14
2020-03-29,14
2020-04-05,28
2020-04-12,35
2020-04-19,14
2020-04-26,35
2020-05-03,27
2020-05-10,43
2020-05-17,22
2020-05-24,44
2020-05-31,34
2020-06-07,65
2020-06-14,38
2020-06-21,23
2020-06-28,0
2020-07-05,16
2020-07-12,48
2020-07-19,50
2020-07-26,50
2020-08-02,81
2020-08-09,24
2020-08-16,24
2020-08-23,40
2020-08-30,49
2020-09-06,16
2020-09-13,31
2020-09-20,16
2020-09-27,56
2020-10-04,8
2020-10-11,9
2020-10-18,17
2020-10-25,9
2020-11-01,24
2020-11-08,25
2020-11-15,0
2020-11-22,24
2020-11-29,33
2020-12-06,8
2020-12-13,34
2020-12-20,37
2020-12-27,26
2021-01-03,33
2021-01-10,8
2021-01-17,25
2021-01-24,41
2021-01-31,41
2021-02-07,42
2021-02-14,8
2021-02-21,50
2021-02-28,17
2021-03-07,25
2021-03-14,48
2021-03-21,25
2021-03-28,17
2021-04-04,58