Week,Scalloped potatoes recipes: (Canada)
2016-04-03,6
2016-04-10,12
2016-04-17,0
2016-04-24,18
2016-05-01,0
2016-05-08,0
2016-05-15,6
2016-05-22,7
2016-05-29,0
2016-06-05,6
2016-06-12,13
2016-06-19,0
2016-06-26,7
2016-07-03,0
2016-07-10,0
2016-07-17,7
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,7
2016-08-28,0
2016-09-04,7
2016-09-11,0
2016-09-18,6
2016-09-25,6
2016-10-02,50
2016-10-09,13
2016-10-16,6
2016-10-23,6
2016-10-30,6
2016-11-06,6
2016-11-13,6
2016-11-20,18
2016-11-27,12
2016-12-04,24
2016-12-11,6
2016-12-18,19
2016-12-25,0
2017-01-01,6
2017-01-08,12
2017-01-15,29
2017-01-22,6
2017-01-29,0
2017-02-05,6
2017-02-12,11
2017-02-19,6
2017-02-26,5
2017-03-05,0
2017-03-12,6
2017-03-19,11
2017-03-26,6
2017-04-02,11
2017-04-09,35
2017-04-16,6
2017-04-23,11
2017-04-30,0
2017-05-07,12
2017-05-14,6
2017-05-21,6
2017-05-28,12
2017-06-04,0
2017-06-11,12
2017-06-18,12
2017-06-25,0
2017-07-02,7
2017-07-09,0
2017-07-16,6
2017-07-23,6
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,6
2017-09-10,0
2017-09-17,0
2017-09-24,6
2017-10-01,23
2017-10-08,6
2017-10-15,0
2017-10-22,6
2017-10-29,6
2017-11-05,5
2017-11-12,11
2017-11-19,5
2017-11-26,5
2017-12-03,11
2017-12-10,33
2017-12-17,75
2017-12-24,100
2017-12-31,91
2018-01-07,32
2018-01-14,43
2018-01-21,16
2018-01-28,16
2018-02-04,27
2018-02-11,32
2018-02-18,32
2018-02-25,21
2018-03-04,5
2018-03-11,5
2018-03-18,22
2018-03-25,27
2018-04-01,11
2018-04-08,10
2018-04-15,10
2018-04-22,11
2018-04-29,0
2018-05-06,0
2018-05-13,6
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,16
2018-06-17,22
2018-06-24,0
2018-07-01,6
2018-07-08,6
2018-07-15,6
2018-07-22,0
2018-07-29,6
2018-08-05,0
2018-08-12,6
2018-08-19,0
2018-08-26,0
2018-09-02,6
2018-09-09,11
2018-09-16,11
2018-09-23,11
2018-09-30,33
2018-10-07,6
2018-10-14,5
2018-10-21,0
2018-10-28,17
2018-11-04,5
2018-11-11,11
2018-11-18,11
2018-11-25,5
2018-12-02,27
2018-12-09,34
2018-12-16,17
2018-12-23,32
2018-12-30,12
2019-01-06,22
2019-01-13,0
2019-01-20,10
2019-01-27,5
2019-02-03,20
2019-02-10,16
2019-02-17,22
2019-02-24,10
2019-03-03,5
2019-03-10,5
2019-03-17,0
2019-03-24,11
2019-03-31,0
2019-04-07,20
2019-04-14,47
2019-04-21,5
2019-04-28,16
2019-05-05,16
2019-05-12,5
2019-05-19,5
2019-05-26,5
2019-06-02,0
2019-06-09,0
2019-06-16,11
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,11
2019-07-21,0
2019-07-28,6
2019-08-04,11
2019-08-11,0
2019-08-18,0
2019-08-25,11
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,10
2019-09-29,15
2019-10-06,30
2019-10-13,20
2019-10-20,10
2019-10-27,0
2019-11-03,10
2019-11-10,19
2019-11-17,0
2019-11-24,10
2019-12-01,0
2019-12-08,5
2019-12-15,5
2019-12-22,22
2019-12-29,36
2020-01-05,5
2020-01-12,0
2020-01-19,10
2020-01-26,0
2020-02-02,0
2020-02-09,5
2020-02-16,5
2020-02-23,0
2020-03-01,9
2020-03-08,13
2020-03-15,4
2020-03-22,12
2020-03-29,53
2020-04-05,81
2020-04-12,16
2020-04-19,20
2020-04-26,12
2020-05-03,4
2020-05-10,4
2020-05-17,0
2020-05-24,4
2020-05-31,8
2020-06-07,0
2020-06-14,9
2020-06-21,5
2020-06-28,5
2020-07-05,0
2020-07-12,0
2020-07-19,10
2020-07-26,0
2020-08-02,9
2020-08-09,5
2020-08-16,0
2020-08-23,5
2020-08-30,0
2020-09-06,5
2020-09-13,0
2020-09-20,9
2020-09-27,14
2020-10-04,28
2020-10-11,5
2020-10-18,0
2020-10-25,15
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,5
2020-11-29,10
2020-12-06,5
2020-12-13,10
2020-12-20,37
2020-12-27,20
2021-01-03,19
2021-01-10,10
2021-01-17,14
2021-01-24,14
2021-01-31,10
2021-02-07,10
2021-02-14,15
2021-02-21,0
2021-02-28,5
2021-03-07,5
2021-03-14,9
2021-03-21,0