Week,shawarma: (Canada),onion rings: (Canada)
2020-03-01,45,4
2020-03-08,33,3
2020-03-15,37,3
2020-03-22,38,6
2020-03-29,27,5
2020-04-05,34,8
2020-04-12,39,7
2020-04-19,46,6
2020-04-26,51,8
2020-05-03,44,6
2020-05-10,55,9
2020-05-17,51,5
2020-05-24,57,5
2020-05-31,53,5
2020-06-07,57,4
2020-06-14,59,4
2020-06-21,61,4
2020-06-28,62,4
2020-07-05,59,4
2020-07-12,55,2
2020-07-19,61,4
2020-07-26,58,4
2020-08-02,54,3
2020-08-09,52,4
2020-08-16,51,4
2020-08-23,49,4
2020-08-30,60,3
2020-09-06,51,4
2020-09-13,46,4
2020-09-20,50,4
2020-09-27,52,4
2020-10-04,47,2
2020-10-11,52,3
2020-10-18,57,3
2020-10-25,55,3
2020-11-01,45,3
2020-11-08,45,5
2020-11-15,53,5
2020-11-22,51,5
2020-11-29,60,3
2020-12-06,60,2
2020-12-13,48,4
2020-12-20,68,6
2020-12-27,67,9